locationid,FacilityType,Address,Status,Latitude,Longitude,Approved,ExpirationDate,Name
963998,Truck,360 PENINSULA AVE,REQUESTED,37.7108412835853,-122.39964261496316,,03/15/2018 12:00:00 AM,Singh Brothers Ice Cream
1585469,Truck,90 BROADWAY,APPROVED,37.799260113502285,-122.39961794865545,12/17/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Roadside Rotisserie Corporation / Country Grill
1585454,Truck,525 BRANNAN ST,APPROVED,37.77751326467553,-122.3970441344819,12/17/2021 12:00:00 AM,11/15/2022 12:00:00 AM,"Off the Grid Services, LLC"
1575215,Truck,1301 CESAR CHAVEZ ST,APPROVED,37.74925585952909,-122.3909753795768,11/19/2021 12:00:00 AM,11/15/2022 12:00:00 AM,"Bay Area Mobile Catering, Inc. dba. Taqueria Angelica's"
1571660,Push Cart,100 GEARY ST,APPROVED,37.7879142297241,-122.4052705230952,11/22/2021 12:00:00 AM,11/15/2022 12:00:00 AM,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs"
1575156,Truck,60 SPEAR ST,APPROVED,37.79253598843109,-122.394593199235,11/19/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Papalote Inc.
1174517,Push Cart,298 MARKET ST,REQUESTED,37.79321373166341,-122.39704303671824,,07/15/2019 12:00:00 AM,CC Acquisition LLC
1535606,Truck,75 HOWARD ST,EXPIRED,37.79155786415492,-122.39167149978556,07/02/2021 12:00:00 AM,11/15/2021 12:00:00 AM,Wu Wei LLC dba MoBowl
1576354,Truck,281 GEARY ST,APPROVED,37.78713649108612,-122.4077185090006,12/02/2021 12:00:00 AM,11/15/2022 12:00:00 AM,San Francisco's Hometown Creamery
963989,Truck,1420 YOSEMITE AVE,REQUESTED,37.725181700728754,-122.38819268844397,,03/15/2018 12:00:00 AM,Singh Brothers Ice Cream
1163787,Truck,500 MASONIC AVE,REQUESTED,37.77655004281911,-122.44630763555782,,07/15/2019 12:00:00 AM,"SOHOMEI, LLC"
1163793,Truck,3300 CESAR CHAVEZ ST,REQUESTED,37.74854979425914,-122.41617066200786,,07/15/2019 12:00:00 AM,"SOHOMEI, LLC"
1022810,Truck,400 CALIFORNIA ST,ISSUED,37.79330427556103,-122.4014589984134,08/09/2018 12:00:00 AM,07/15/2019 12:00:00 AM,Serendipity SF
1585448,Truck,90 BROADWAY,APPROVED,37.799260113502285,-122.39961794865545,12/17/2021 12:00:00 AM,11/15/2022 12:00:00 AM,"Off the Grid Services, LLC"
1587558,Truck,380 10TH ST,APPROVED,37.77165385136786,-122.41180906852377,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587539,Truck,133 SHIPLEY ST,APPROVED,37.78072409776966,-122.40123539265836,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587556,Truck,2150 CESAR CHAVEZ ST,APPROVED,37.75023688477907,-122.3978180317186,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587551,Truck,3150 03RD ST,APPROVED,37.74944293760035,-122.38798553250405,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587546,Truck,1051 26TH ST,APPROVED,37.75126940587811,-122.38989436694436,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587559,Truck,1347 DONNER AVE,APPROVED,37.72145083973351,-122.38935344507568,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587569,Truck,1411 MARKET ST,APPROVED,37.7758255197583,-122.41724962664344,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587538,Truck,1255 22ND ST,APPROVED,37.75701552445967,-122.39406294711628,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587564,Truck,998 INDIANA ST,APPROVED,37.75803739348808,-122.3916718906821,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1585952,Truck,505 HOWARD ST,APPROVED,37.78798864899528,-122.39610066847152,12/23/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Bonito Poke
1585955,Truck,409 ILLINOIS ST,APPROVED,37.76624504710292,-122.38735628651092,12/23/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Bonito Poke
1591818,Truck,1028 MISSION ST,SUSPEND,37.78069437740818,-122.40966881321906,,11/15/2022 12:00:00 AM,Rita's Catering
1585964,Truck,370 DRUMM ST,APPROVED,37.79691371248354,-122.39665067526364,12/23/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Curry Up Now
1577204,Push Cart,800 MARKET ST,APPROVED,37.78546974648992,-122.40661576107294,12/23/2021 12:00:00 AM,11/15/2022 12:00:00 AM,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs"
1577206,Push Cart,101 STOCKTON ST,APPROVED,37.786856111883054,-122.40689189299718,12/23/2021 12:00:00 AM,11/15/2022 12:00:00 AM,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs"
1585966,Truck,727 SANSOME ST,APPROVED,37.79694900602121,-122.40218343189426,12/23/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Curry Up Now
1585967,Truck,601 03RD ST,APPROVED,37.78007717443923,-122.39376729448306,12/23/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Curry Up Now
1585954,Truck,400 HOWARD ST,APPROVED,37.78911920766765,-122.39588103933524,12/23/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Bonito Poke
1577205,Push Cart,870 MARKET ST,APPROVED,37.78511092044776,-122.40742266827704,12/23/2021 12:00:00 AM,11/15/2022 12:00:00 AM,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs"
1585965,Truck,225 BUSH ST,APPROVED,37.79083841945172,-122.40116037029892,12/23/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Curry Up Now
1585953,Truck,430 CALIFORNIA ST,APPROVED,37.793262206923096,-122.4017890913628,12/23/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Bonito Poke
1587562,Truck,1750 FOLSOM ST,APPROVED,37.76890352056648,-122.41598117460148,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587571,Truck,2660 NEWHALL ST,APPROVED,37.727212173900384,-122.39963625164356,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587547,Truck,1090 26TH ST,APPROVED,37.751608413578936,-122.39030948950146,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587393,Truck,1500 GENEVA AVE,REQUESTED,37.712302604744416,-122.43164419037294,,11/15/2022 12:00:00 AM,Truly Food & More
1587576,Truck,1199 ORTEGA ST,APPROVED,37.78350912221273,-122.49007120809986,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Eva's Catering
1587565,Truck,951 INDIANA ST,APPROVED,37.758786162305626,-122.39095839869276,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587557,Truck,1420 CARROLL AVE,APPROVED,37.7235768564887,-122.39005910139932,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587544,Truck,815 TENNESSEE ST,APPROVED,37.76150220396644,-122.389276996081,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587553,Truck,3255 03RD ST,APPROVED,37.748445338837655,-122.38687903197965,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587577,Truck,1650 20TH AVE,APPROVED,37.75798419052856,-122.43346578040662,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Eva's Catering
1587563,Truck,500 FRANCISCO ST,APPROVED,37.80504950905885,-122.41433443693992,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587536,Truck,700 PENNSYLVANIA AVE,APPROVED,37.75692365373408,-122.39354961053633,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587534,Truck,150 OTIS ST,APPROVED,37.770683395042624,-122.42087956139908,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1514026,Truck,1500 TENNESSEE ST,EXPIRED,37.75224166848031,-122.38918854258944,03/30/2021 12:00:00 AM,11/15/2021 12:00:00 AM,F & C Catering
1587550,Truck,3000 03RD ST,APPROVED,37.7504641155225,-122.38790832590168,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587543,Truck,790 TENNESSEE ST,APPROVED,37.761852397504114,-122.38993209325044,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587579,Truck,630 BRANNAN ST,APPROVED,37.77609875315735,-122.40028723986816,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Eva's Catering
1587545,Truck,640 TEXAS ST,APPROVED,37.75791705669008,-122.39547585248978,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1575196,Truck,190 NAPOLEON ST,APPROVED,37.74758627625646,-122.39886570079622,12/09/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Park's Catering
1576232,Truck,3040 HARRISON ST,APPROVED,37.748848056566345,-122.4126189946552,12/16/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Natan's Catering
1576212,Truck,Assessors Block 4046/Lot001,APPROVED,37.76200845803015,-122.38544181156826,12/16/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Natan's Catering
1509787,Truck,3055 23RD ST,EXPIRED,37.753927735726535,-122.41332312961758,03/19/2021 12:00:00 AM,11/15/2021 12:00:00 AM,El Gallo Jiro
1585464,Truck,1 POST ST,APPROVED,37.788778723378,-122.40257456841074,12/17/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Roadside Rotisserie Corporation / Country Grill
1587523,Truck,34 ELLIS ST,APPROVED,37.78756516537884,-122.40959283347962,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,"Chairman SF, LLC"
1587561,Truck,368 ELM ST,APPROVED,37.7813800275549,-122.42314384550636,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1591809,Push Cart,455 MARKET ST,SUSPEND,37.79094704192342,-122.39863358940372,,11/15/2022 12:00:00 AM,"Halal Cart, LLC"
1514031,Truck,1275 MINNESOTA ST,EXPIRED,37.754251708893726,-122.3893812288799,03/30/2021 12:00:00 AM,11/15/2021 12:00:00 AM,F & C Catering
1587575,Truck,1900 19TH AVE,APPROVED,37.75212416311866,-122.47587232222202,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Eva's Catering
1587567,Truck,601 MARIPOSA ST,APPROVED,37.76405208992424,-122.39014439398792,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587541,Truck,601 23RD ST,APPROVED,37.755030726766726,-122.38453073422282,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587566,Truck,1575 INDIANA ST,APPROVED,37.75084960681246,-122.3900276155014,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
1587581,Truck,2600 INGALLS ST,APPROVED,37.722629217598346,-122.39006184632665,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Eva's Catering
1587552,Truck,3305 03RD ST,APPROVED,37.74383117213268,-122.37779736896212,12/30/2021 12:00:00 AM,11/15/2022 12:00:00 AM,Brazuca Grill
